"gene","padj_MLH1","log2FoldChange_MLH1","padj_MSH2","log2FoldChange_MSH2","Result_KOvsHA"
"DLEC1",0.466302383981554,1.8232930405161,NA,-1.54807254302262,"Not DE"
"CYTH3",4.72110910136726e-06,-0.460606821887405,0.9264979218809,-0.0295276965017241,"DE (down) in MLH1"
"ADAM22",0.857060568236655,0.0791850425951888,9.96734529710488e-07,1.14582557382842,"DE (up) in MSH2"
"SYPL1",0.00140825285658967,0.249155700818107,0.881635452285398,0.038709020309696,"DE (up) in MLH1"
"CYB561",0.439916682834407,0.123676399063514,0.0979124366082588,0.272715874392671,"Not DE"
"SPAG9",0.524600309527214,0.0757501926737412,0.00145177075106706,-0.310776748417324,"DE (down) in MSH2"
"CELSR3",0.454270355507274,0.185289221859385,0.683997960402543,-0.161766252204109,"Not DE"
"AASS",0.00527745725144196,-0.269186475572876,0.0275617847321785,0.250601847439283,"Not DE"
"PLEKHG6",NA,-0.810726218248883,NA,-0.758954473033891,"Not DE"
"SS18L2",0.822442161052312,0.0472771909050914,0.364752268819517,0.202343832015784,"Not DE"
"MPND",0.29970060008009,0.44360589079244,0.77858900091086,-0.252975063265728,"Not DE"
"MGST1",0.507338403102314,-0.0687678401354729,0.677535779537936,0.087633278918515,"Not DE"
"CRY1",5.58545953703489e-32,-0.945469179203675,0.934036166575135,-0.0272035799919368,"DE (down) in MLH1"
"PGLYRP1",NA,NA,NA,NA,"Not DE"
"NFIX",4.08796420167394e-61,-1.71301331584553,0.146545548670044,-0.27131009053096,"DE (down) in MLH1"
"ST3GAL1",3.86933153432075e-37,-1.02543529736095,1.56061236599551e-05,-0.491943019558077,"DE (down) in both"
"MMP25",0.520121966376143,-1.75018170714288,0.662249112926722,-1.36969564063417,"Not DE"
"IL32",3.36102217751941e-14,-1.41486161762867,0.644441989217385,-0.150965833150015,"DE (down) in MLH1"
"PKD1",0.00224546572564687,0.252336880299613,0.966013630189056,-0.0172850606270892,"DE (up) in MLH1"
"MAPK8IP2",0.240104475927993,1.25144708514489,0.963181603341191,-0.189254295234626,"Not DE"
"MED24",0.725006159663255,0.0405012837815165,0.653774077999631,-0.0762340175442136,"Not DE"
"RHOBTB2",0.025195842510298,-0.451643120920639,0.978287494898785,-0.0378634320996846,"DE (down) in MLH1"
"HEATR5B",0.000219024140652985,-0.546462563257807,0.360205534438302,-0.144637368461837,"DE (down) in MLH1"
"SEC62",0.215569488238665,0.206215842194537,0.990022813261992,0.00761525874613719,"Not DE"
"RPS20",0.327107618584155,-0.102942110835274,0.716848682037113,0.0622253917655472,"Not DE"
"CSDE1",0.00475939158217612,-0.18346276001648,0.331005515856599,-0.110802041700392,"DE (down) in MLH1"
"UBE3C",7.84542256215325e-06,0.321268218827643,5.45716976861939e-05,0.289955669627621,"DE (up) in both"
"REV3L",0.0791966646786867,0.262764110230842,0.3580901736553,0.223248495135424,"Not DE"
